has_job_experience,requires_job_training,no_of_employees,yr_of_estab,prevailing_wage,full_time_position,processing_time_days,target_binary,continent_Africa,continent_Asia,continent_Europe,continent_North America,continent_Oceania,continent_South America,education_of_employee_Bachelor's,education_of_employee_Doctorate,education_of_employee_High School,education_of_employee_Master's,region_of_employment_Island,region_of_employment_Midwest,region_of_employment_Northeast,region_of_employment_South,region_of_employment_West,unit_of_wage_Hour,unit_of_wage_Month,unit_of_wage_Week,unit_of_wage_Year
0,0,14513,2007,592.2029,1,36,0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False
1,0,2412,2002,83425.65,1,42,1,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True
0,1,44444,2008,122996.86,1,49,0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True
0,0,98,1897,83434.03,1,48,0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True
1,0,1082,2005,149907.39,1,47,1,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True
1,0,2339,2012,78252.14,1,42,1,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True
0,0,4985,1994,53635.39,1,28,1,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
1,0,3035,1924,418.2298,1,42,0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False
0,0,4810,2012,74362.19,1,28,1,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True
1,0,2251,1995,67514.76,1,39,1,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True
0,0,2465,2004,83588.56,1,61,1,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True
1,0,4069,2005,70813.09,1,45,0,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True
1,0,123876,1963,28663.05,1,31,1,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True
1,0,1652,2007,107196.03,1,42,1,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True
1,1,15756,2006,220081.73,1,32,1,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True
1,0,4897,1987,74108.02,1,56,0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True
